time_and_date,air_pressure,temperature,wind_direction,humidity,wind_speed,precipitation,soil_moisture,flood_risk
2024-09-19 15:22:39,1006.31,25.07,264.94,57.94,11.63,855.23,11.02,Low
2024-09-19 15:22:42,999.84,32.92,56.17,59.41,0.32,605.01,13.88,Low
2024-09-19 15:22:51,1040.97,15.18,205.25,83.62,9.89,281.11,15.54,Low
2024-09-19 15:23:00,1006.95,21.42,188.73,79.2,3.86,260.67,30.2,Low
2024-09-19 15:23:03,1037.43,42.99,216.69,77.35,5.14,365.15,47.76,Low
2024-09-19 15:23:12,1024.52,7.43,170.6,76.32,17.27,317.28,36.36,Low
2024-09-19 15:23:21,1004.57,46.66,261.32,72.26,19.5,749.6,54.69,High
2024-09-19 15:23:39,999.87,0.66,227.21,63.63,15.09,255.78,63.19,Low
2024-09-19 15:23:42,1041.55,1.68,264.09,80.95,19.47,361.84,50.85,Low
2024-09-19 15:24:13,1040.3,16.82,168.87,87.84,9.47,495.41,66.87,Low
2024-09-19 15:24:19,1017.89,50.89,244.79,32.48,7.55,206.18,52.67,Low
2024-09-19 15:24:31,1017.68,17.27,97.55,76.18,15.48,984.37,33.84,High
2024-09-19 15:24:37,1040.27,-5.88,147.14,34.33,17.54,710.51,63.95,Moderate
2024-09-19 15:24:40,995.07,9.1,75.84,68.28,10.22,182.6,58.33,Low
2024-09-19 15:24:43,1034.39,13.6,214.9,79.83,2.31,846.05,40.94,High
2024-09-19 15:24:46,1048.09,33.69,313.48,72.79,7.88,896.48,42.22,High
2024-09-19 15:24:49,983.21,6.01,267.46,60.48,15.96,829.64,39.5,High
2024-09-19 15:25:04,1021.09,26.22,110.76,69.83,17.83,964.85,50.92,High
2024-09-19 15:25:07,1021.25,1.32,259.35,51.47,6.48,114.51,58.59,Low
2024-09-19 15:25:19,1025.44,-2.87,35.73,42.08,17.25,995.44,57.1,High
2024-09-19 15:25:28,1049.52,54.6,239.55,59.75,5.89,361.55,41.7,Low
2024-09-19 15:25:49,1022.72,11.71,111.89,61.44,17.32,668.79,41.06,Moderate
2024-09-19 15:25:52,1049.22,36.08,157.36,35.54,4.77,234.49,17.86,Low
2024-09-19 15:25:55,1031.64,26.12,37.25,79.84,19.65,670.58,42.36,Moderate
2024-09-19 15:25:58,1001.78,19.71,149.46,63.83,18.93,232.54,21.35,Low
2024-09-19 15:26:01,1005.76,6.73,112.02,80.32,17.86,205.18,16.25,Low
2024-09-19 15:26:34,980.14,53.06,29.48,60.5,16.68,816.9,35.55,High
2024-09-19 15:26:46,1008.09,-3.49,170.57,47.24,11.67,641.93,23.56,Moderate
2024-09-19 15:27:02,1049.9,34.33,158.85,81.86,3.21,987.58,20.06,Moderate
2024-09-19 15:27:05,1033.52,31.03,164.38,83.72,16.76,157.41,55.53,Low
2024-09-19 15:27:08,988.67,41.24,284.33,81.12,7.3,765.18,55.24,High
2024-09-19 15:27:14,1041.48,35.1,301.43,49.04,16.14,643.48,34.25,Moderate
2024-09-19 15:27:26,981.74,56.98,119.85,65.49,9.74,802.48,29.82,Moderate
2024-09-19 15:27:38,1025.38,27.41,311.1,66.04,5.53,769.61,47.72,High
2024-09-19 15:27:44,1000.57,40.57,30.44,55.95,13.52,747.83,47.23,High
2024-09-19 15:27:50,1047.65,47.9,256.01,65.11,9.62,261.27,34.01,Low
2024-09-19 15:27:56,1031.56,53.53,322.37,44.81,18.1,318.99,56.85,Low
2024-09-19 15:28:02,1028.18,20.2,0.9,83.05,11.03,923.18,54.1,High
2024-09-19 15:28:05,988.3,29.11,178.2,54.67,14.24,610.44,34.77,Moderate
2024-09-19 15:28:53,993.34,38.97,189.29,89.04,9.03,758.19,57.5,High
2024-09-19 15:29:14,982.47,46.6,186.01,30.97,0.85,363.88,41.75,Low
2024-09-19 15:29:18,1007.08,21.14,281.12,35.6,11.45,874.72,56.26,High
2024-09-19 15:29:21,992.32,16.61,107.95,50.04,1.19,529.94,47.43,Moderate
2024-09-19 15:29:24,1040.49,22.03,149.73,87.23,10.07,213.12,38.51,Low
2024-09-19 15:29:27,1039.15,-3.59,235.99,82.44,13.59,263.22,17.37,Low
2024-09-19 15:29:57,989.93,13.73,44.0,34.72,13.89,954.91,21.18,Moderate
2024-09-19 15:30:03,1019.44,17.26,155.49,35.69,16.47,659.11,69.61,Moderate
2024-09-19 15:30:09,1044.5,11.91,61.31,59.51,2.91,646.25,44.08,Moderate
2024-09-19 15:30:15,1015.52,21.11,231.76,30.84,14.64,642.2,55.88,Moderate
2024-09-19 15:30:19,987.83,-4.24,188.42,37.9,5.43,661.74,52.43,Moderate
2024-09-19 15:30:31,1042.2,52.46,346.68,39.49,11.26,882.87,62.61,High
2024-09-19 15:30:37,996.71,14.61,263.82,51.44,19.31,337.82,14.31,Low
2024-09-19 15:30:49,1045.13,-9.17,158.63,57.73,17.92,837.64,40.77,High
2024-09-19 15:31:07,989.24,45.99,345.61,31.41,17.03,537.59,44.81,Moderate
2024-09-19 15:31:22,1042.88,2.73,328.2,73.71,0.49,790.04,15.88,Low
2024-09-19 15:31:34,1043.38,44.75,185.15,61.18,13.21,464.02,56.26,Low
2024-09-19 15:31:50,1047.48,51.07,176.04,69.06,3.22,523.51,46.89,Moderate
2024-09-19 15:31:56,1039.24,43.71,145.51,38.81,6.54,517.75,41.93,Moderate
2024-09-19 15:32:02,991.35,24.54,129.33,88.51,2.07,754.81,14.66,Low
2024-09-19 15:32:14,986.48,-3.41,5.61,39.02,4.31,244.41,20.34,Low
2024-09-19 15:32:17,1023.92,11.84,183.73,41.56,13.25,238.72,66.6,Low
2024-09-19 15:32:29,980.42,27.04,133.52,56.43,0.46,643.13,53.94,Moderate
2024-09-19 15:32:50,997.81,3.27,13.3,38.49,0.43,418.84,66.12,Low
2024-09-19 15:32:53,1020.27,1.88,133.19,50.4,12.46,354.58,52.94,Low
2024-09-19 15:32:56,995.15,2.55,133.63,66.24,9.2,808.26,26.05,Moderate
2024-09-19 15:33:06,1043.87,12.14,353.05,52.56,18.63,963.3,44.35,High
2024-09-19 15:33:09,1000.09,6.39,131.54,89.64,19.87,530.1,17.21,Low
2024-09-19 15:33:39,1024.7,38.25,235.24,66.38,12.62,866.37,66.28,High
2024-09-19 15:33:51,984.88,35.07,330.77,68.23,3.29,920.18,32.9,High
2024-09-19 15:34:03,1025.21,55.71,198.16,71.69,3.31,320.55,26.22,Low
2024-09-19 15:34:09,1043.1,11.6,38.54,39.54,3.15,782.29,48.05,High
2024-09-19 15:34:12,1018.77,38.32,147.14,65.2,7.76,827.31,69.76,High
2024-09-19 15:34:15,1044.52,31.89,76.07,64.98,7.26,136.23,38.97,Low
2024-09-19 15:34:18,1004.46,0.98,323.29,56.99,13.09,817.94,10.09,Low
2024-09-19 15:34:27,1001.11,14.46,241.38,41.17,9.16,639.72,66.37,Moderate
2024-09-19 15:34:31,1020.27,-2.9,159.28,40.44,1.34,565.02,24.22,Moderate
2024-09-19 15:34:40,1018.1,55.59,109.98,86.45,18.57,167.92,45.98,Low
2024-09-19 15:34:43,1034.47,16.42,3.91,61.09,11.81,228.65,43.53,Low
2024-09-19 15:34:49,1047.81,17.06,353.23,64.63,4.06,275.25,55.73,Low
2024-09-19 15:35:07,1004.55,7.86,293.01,64.34,16.79,150.04,10.69,Low
2024-09-19 15:35:40,1007.63,27.79,226.84,35.95,0.86,111.87,16.56,Low
2024-09-19 15:35:49,989.27,17.63,1.95,47.07,1.35,715.5,11.14,Low
2024-09-19 15:35:58,996.68,24.63,19.06,66.8,19.62,657.3,45.87,Moderate
2024-09-19 15:36:05,1032.95,49.2,72.28,39.78,19.02,783.63,45.36,High
2024-09-19 15:36:08,1005.66,42.55,85.54,37.4,14.76,644.71,35.88,Moderate
2024-09-19 15:36:14,1010.49,26.02,237.33,84.66,9.63,463.54,57.48,Low
2024-09-19 15:36:17,1030.14,5.67,354.42,74.3,6.82,347.87,50.87,Low
2024-09-19 15:36:20,1039.74,12.36,68.28,64.08,10.66,840.16,62.25,High
2024-09-19 15:36:23,990.41,38.24,275.32,47.99,10.42,156.0,17.77,Low
2024-09-19 15:36:29,989.96,51.6,295.3,63.54,6.32,276.68,31.88,Low
2024-09-19 15:36:41,1009.61,3.06,321.66,55.71,4.19,320.74,48.37,Low
2024-09-19 15:36:44,1004.03,-9.7,231.4,51.93,18.76,711.71,15.96,Low
2024-09-19 15:36:50,999.6,40.31,237.06,39.07,13.66,848.96,43.43,High
2024-09-19 15:36:53,1048.99,-2.07,252.08,39.8,3.25,185.93,23.73,Low
2024-09-19 15:36:57,983.08,36.74,349.35,67.19,3.04,804.85,62.48,High
2024-09-19 15:37:03,986.36,42.71,301.55,37.22,11.76,149.0,10.05,Low
2024-09-19 15:37:06,981.4,34.85,97.89,87.64,7.95,673.91,42.89,Moderate
2024-09-19 15:37:30,1027.19,4.91,152.1,78.32,5.39,940.91,45.66,High
2024-09-19 15:37:42,1023.99,12.03,155.56,55.97,6.19,982.63,48.04,High
2024-09-19 15:37:45,1021.56,20.03,343.75,44.03,11.38,935.31,44.67,High
2024-09-19 15:37:48,1034.59,10.62,239.23,41.12,15.47,466.38,49.59,Low
2024-09-19 15:37:51,997.56,0.9,16.83,82.36,13.48,855.72,38.92,High
2024-09-19 15:37:57,1009.35,40.01,85.17,43.72,2.62,116.19,40.78,Low
2024-09-19 15:38:03,994.22,8.51,198.48,61.96,7.24,233.12,21.0,Low
2024-09-19 15:38:09,1021.96,55.06,8.19,59.92,16.14,613.42,58.59,Moderate
2024-09-19 15:38:22,1023.67,48.3,89.28,68.73,14.42,592.53,53.03,Moderate
2024-09-19 15:38:25,1024.83,51.47,112.1,34.0,2.28,238.77,55.02,Low
2024-09-19 15:38:34,1001.63,13.43,334.11,73.76,13.36,731.59,49.01,High
2024-09-19 15:38:43,1029.93,7.35,337.45,69.03,19.73,996.87,35.33,High
2024-09-19 15:38:55,1040.91,19.26,242.21,34.94,15.52,235.17,17.05,Low
2024-09-19 15:39:01,996.85,-5.58,13.04,75.97,9.07,241.77,15.48,Low
2024-09-19 15:39:04,1036.37,10.47,225.43,41.54,0.47,204.89,17.06,Low
2024-09-19 15:39:16,1024.24,53.66,176.45,81.99,11.6,880.88,48.44,High
2024-09-19 15:39:28,1021.65,18.95,270.57,59.76,5.61,123.22,28.46,Low
2024-09-19 15:39:31,1022.92,20.77,254.41,30.76,7.67,971.05,11.8,Low
2024-09-19 15:39:34,1039.25,21.29,26.56,72.76,9.5,784.48,62.99,High
2024-09-19 15:39:41,1036.04,57.81,67.84,72.47,12.4,352.18,50.24,Low
2024-09-19 15:39:47,1010.61,49.57,353.34,75.47,3.47,389.05,34.91,Low
2024-09-19 15:39:53,989.58,36.35,337.74,73.42,7.68,230.67,44.78,Low
2024-09-19 15:39:56,1001.37,-0.61,93.35,44.96,12.03,512.34,57.96,Moderate
2024-09-19 15:40:11,1026.0,28.46,54.7,83.21,1.74,253.91,35.13,Low
2024-09-19 15:40:14,1020.43,20.51,321.51,55.64,14.06,569.29,16.7,Low
2024-09-19 15:40:17,990.22,33.21,263.2,44.13,2.79,183.12,67.98,Low
2024-09-19 15:40:29,1028.05,3.93,132.23,67.06,11.75,248.24,15.78,Low
2024-09-19 15:40:42,1042.79,5.62,51.0,77.83,8.26,747.44,14.74,Low
2024-09-19 15:41:06,1034.34,24.46,260.27,48.67,8.94,300.09,37.09,Low
2024-09-19 15:41:15,984.54,18.35,52.92,30.91,9.76,878.65,43.49,High
2024-09-19 15:41:24,1028.22,2.54,99.84,72.63,7.6,264.35,46.39,Low
2024-09-19 15:41:27,1029.47,29.16,13.69,48.36,5.9,701.65,24.68,Moderate
2024-09-19 15:41:45,1007.11,34.3,182.76,83.16,1.8,241.57,66.29,Low
2024-09-19 15:41:54,995.94,-1.57,89.93,59.01,14.34,126.01,61.94,Low
2024-09-19 15:42:03,1029.81,24.36,245.87,64.44,17.76,360.01,14.27,Low
2024-09-19 15:42:13,982.14,27.77,229.93,75.42,1.53,111.05,35.61,Low
2024-09-19 15:42:19,1042.64,4.77,342.14,53.71,14.16,840.82,20.52,Moderate
2024-09-19 15:42:22,998.87,47.21,40.26,52.28,14.4,602.35,56.15,Moderate
2024-09-19 15:42:44,1040.64,4.87,226.65,89.59,1.04,957.04,12.79,Low
2024-09-19 15:42:47,1013.5,11.49,65.14,32.73,14.03,430.23,40.66,Low
2024-09-19 15:42:53,1025.95,55.43,23.15,36.24,18.16,754.73,22.06,Moderate
2024-09-19 15:42:59,1003.12,57.34,111.23,37.67,18.57,365.84,13.2,Low
2024-09-19 15:43:14,1033.33,9.48,132.77,71.61,16.81,123.07,34.89,Low
2024-09-19 15:43:17,1030.37,-0.84,125.95,87.74,9.99,500.3,29.52,Low
2024-09-19 15:43:20,994.8,4.76,22.27,53.77,13.18,424.86,41.88,Low
2024-09-19 15:43:39,1032.34,10.04,235.35,39.83,7.97,400.85,31.66,Low
2024-09-19 15:43:48,1030.36,5.08,144.48,60.16,4.3,591.41,32.96,Moderate
2024-09-19 15:43:57,1025.6,55.35,53.51,79.21,3.49,356.09,68.99,Low
2024-09-19 15:44:03,1030.53,10.99,122.31,38.65,16.46,604.11,10.66,Low
2024-09-19 15:44:09,1035.74,36.54,238.99,81.84,4.87,542.48,35.31,Moderate
2024-09-19 15:44:15,1047.87,-5.02,50.74,57.33,7.86,711.62,29.21,Moderate
2024-09-19 15:44:21,992.15,30.3,42.33,58.23,9.49,296.89,52.48,Low
2024-09-19 15:44:24,984.56,21.3,216.67,46.18,10.37,897.25,13.53,Low
2024-09-19 15:44:39,1005.75,-6.96,283.15,54.71,16.02,997.97,24.82,Moderate
2024-09-19 15:44:42,997.39,43.35,281.15,50.92,0.79,588.87,43.79,Moderate
2024-09-19 15:44:49,986.68,57.99,12.43,48.19,17.77,377.06,51.3,Low
2024-09-19 15:45:01,1010.55,19.73,171.62,73.93,7.05,408.4,42.95,Low
2024-09-19 15:45:07,1019.3,56.81,21.12,44.42,9.77,633.48,44.52,Moderate
2024-09-19 15:45:13,1007.87,26.84,255.84,45.98,12.6,836.97,60.52,High
2024-09-19 15:45:16,992.79,-5.59,80.39,82.53,15.86,742.06,63.72,High
2024-09-19 15:45:19,990.46,-5.12,178.46,31.26,7.34,388.61,54.57,Low
2024-09-19 15:45:22,986.68,21.72,210.12,31.55,17.67,963.28,11.59,Low
2024-09-19 15:45:25,998.22,14.85,244.39,84.43,7.77,697.54,13.22,Low
2024-09-19 15:45:58,990.55,24.7,180.27,41.02,15.48,198.0,16.05,Low
2024-09-19 15:46:04,1020.11,51.97,99.96,50.51,3.1,497.71,56.04,Low
2024-09-19 15:46:08,1021.51,10.68,127.04,34.64,3.42,988.69,46.94,High
2024-09-19 15:46:11,1034.98,2.05,92.07,40.61,11.65,287.69,34.97,Low
2024-09-19 15:46:20,1028.57,-0.86,265.89,32.31,3.45,112.78,36.92,Low
2024-09-19 15:46:23,1010.41,57.38,36.73,49.64,15.11,705.34,52.1,Moderate
2024-09-19 15:46:26,1035.4,16.2,65.57,48.89,9.04,657.34,10.83,Low
2024-09-19 15:46:35,1032.4,14.92,151.53,71.77,13.69,158.56,66.76,Low
2024-09-19 15:46:41,1043.73,28.27,128.24,43.8,8.76,612.31,57.77,Moderate
2024-09-19 15:46:44,1010.18,-0.78,105.46,86.66,12.09,758.64,20.05,Moderate
2024-09-19 15:46:50,1046.57,17.56,198.78,43.01,13.86,642.94,25.75,Moderate
2024-09-19 15:46:59,1004.08,27.63,156.48,88.44,11.59,452.15,45.04,Low
2024-09-19 15:47:02,981.29,26.31,90.04,75.11,7.5,564.4,15.46,Low
2024-09-19 15:47:11,1038.23,37.35,326.95,53.88,18.63,994.14,27.66,Moderate
2024-09-19 15:47:42,1013.64,1.32,20.37,60.87,19.26,842.71,41.88,High
2024-09-19 15:47:45,1014.56,16.32,151.35,58.9,18.03,434.73,41.29,Low
2024-09-19 15:47:54,1012.26,20.87,265.7,65.16,7.17,443.02,32.45,Low
2024-09-19 15:47:57,990.01,5.87,156.64,70.46,14.62,916.53,29.87,Moderate
2024-09-19 15:48:12,1045.35,56.35,126.42,43.0,7.97,849.96,31.92,High
2024-09-19 15:48:18,1041.21,-9.82,30.71,84.84,13.84,479.03,55.51,Low
2024-09-19 15:48:24,986.09,18.65,211.57,57.07,16.51,283.33,40.73,Low
2024-09-19 15:48:30,1048.58,24.97,302.82,30.73,5.51,730.34,16.03,Low
2024-09-19 15:48:39,986.52,8.76,100.45,87.56,11.74,430.41,54.23,Low
2024-09-19 15:48:46,1031.28,26.64,19.27,62.87,9.7,223.21,15.63,Low
2024-09-19 15:48:52,994.81,33.34,7.79,80.1,4.3,875.68,21.03,Moderate
2024-09-19 15:49:10,1040.7,30.46,43.09,35.8,9.14,789.71,27.44,Moderate
2024-09-19 15:49:31,1008.84,54.66,334.33,59.85,5.08,764.48,51.5,High
2024-09-19 15:49:34,1016.29,-2.14,187.39,88.09,13.02,460.26,30.57,Low
2024-09-19 15:49:40,999.44,53.24,241.58,39.28,6.82,341.79,31.44,Low
2024-09-19 15:49:43,989.45,-1.95,308.01,67.67,0.03,205.9,67.74,Low
2024-09-19 15:49:46,1033.22,30.6,277.83,40.04,11.66,373.84,35.76,Low
2024-09-19 15:50:14,984.99,0.64,328.68,52.13,7.09,627.57,19.41,Low
2024-09-19 15:50:17,999.81,45.98,227.63,66.3,14.25,515.75,16.79,Low
2024-09-19 15:50:20,1043.01,11.57,230.11,33.11,8.51,956.95,48.25,High
2024-09-19 15:50:26,1042.79,31.42,357.93,61.11,0.17,216.26,58.91,Low
2024-09-19 15:50:35,1043.63,10.27,159.22,44.94,7.96,947.47,58.43,High
2024-09-19 15:50:38,989.22,-0.63,276.02,30.93,3.32,417.94,57.67,Low
2024-09-19 15:50:41,1011.83,36.19,235.17,76.45,8.01,912.52,44.5,High
2024-09-19 15:50:47,1010.31,14.3,184.67,79.22,19.91,145.54,22.58,Low
2024-09-19 15:50:53,998.48,-2.06,276.07,70.54,6.28,805.15,29.49,Moderate
2024-09-19 15:50:59,1026.47,12.82,139.01,44.84,0.29,555.17,41.46,Moderate
2024-09-19 15:51:02,1004.58,24.93,23.28,36.4,12.52,702.77,48.78,Moderate
2024-09-19 15:51:15,1009.45,44.5,257.8,43.63,1.78,295.32,20.43,Low
2024-09-19 15:51:18,1047.3,39.43,328.91,89.14,2.43,571.0,38.78,Moderate
2024-09-19 15:51:21,1047.63,16.33,352.77,43.59,5.53,130.4,46.51,Low
2024-09-19 15:51:30,1042.36,10.89,128.68,39.32,8.09,272.94,42.13,Low
2024-09-19 15:51:33,990.91,48.95,173.88,88.91,7.86,321.1,51.3,Low
2024-09-19 15:51:45,999.94,22.64,258.91,63.83,9.7,931.73,55.68,High
2024-09-19 15:51:51,1049.38,20.69,5.52,36.71,4.5,338.29,59.1,Low
2024-09-19 15:52:00,991.51,17.13,130.86,47.51,7.59,715.7,24.22,Moderate
2024-09-19 15:52:15,982.11,4.99,285.4,64.78,1.3,931.14,12.73,Low
2024-09-19 15:52:19,1012.08,9.85,87.17,44.21,11.52,391.16,12.99,Low
2024-09-19 15:52:31,1001.44,34.81,153.9,38.62,6.4,985.36,35.15,High
2024-09-19 15:52:37,998.02,29.37,3.65,71.74,14.21,138.08,27.8,Low
2024-09-19 15:52:40,996.22,49.13,273.65,74.19,7.05,880.23,13.17,Low
2024-09-19 15:52:43,980.12,-7.06,188.4,63.15,12.59,190.22,62.75,Low
2024-09-19 15:52:49,1030.35,10.14,111.37,80.87,15.15,765.91,42.56,High
2024-09-19 15:52:52,1020.12,26.31,30.12,76.22,1.23,537.32,33.2,Moderate
2024-09-19 15:53:25,981.43,-6.0,159.17,76.66,8.68,418.6,25.44,Low
2024-09-19 15:53:29,1046.0,41.51,104.32,88.62,4.03,182.94,47.09,Low
2024-09-19 15:53:32,1043.29,10.41,143.05,56.09,10.99,154.53,67.21,Low
2024-09-19 15:53:38,1011.67,28.65,119.27,80.89,17.24,143.9,22.63,Low
2024-09-19 15:54:11,1026.21,52.76,326.18,69.35,0.49,109.18,20.26,Low
2024-09-19 15:54:20,1038.94,36.36,53.19,86.92,1.69,686.61,10.34,Low
2024-09-19 15:54:35,993.33,-0.7,72.65,65.18,2.52,180.69,50.71,Low
2024-09-19 15:54:38,1016.26,15.65,97.72,62.08,0.65,442.37,29.81,Low
2024-09-19 15:54:41,999.05,13.9,287.4,76.29,6.15,517.01,34.86,Moderate
2024-09-19 15:54:54,998.69,29.28,44.05,66.22,4.92,197.87,42.98,Low
2024-09-19 15:55:15,1032.63,44.77,91.73,79.05,18.37,640.34,34.23,Moderate
2024-09-19 15:55:33,1038.74,5.91,241.49,43.24,8.54,309.55,58.25,Low
2024-09-19 15:55:42,1042.05,7.46,242.51,33.31,1.94,223.39,46.08,Low
2024-09-19 15:55:45,1031.93,54.34,87.46,34.71,17.32,659.46,58.16,Moderate
2024-09-19 15:55:51,1036.54,39.45,62.58,56.53,9.78,279.96,66.16,Low
2024-09-19 15:55:54,1017.39,17.1,91.81,38.46,17.42,331.75,46.66,Low
2024-09-19 15:56:00,981.04,21.75,35.52,47.31,9.18,814.85,37.75,High
2024-09-19 15:56:13,1031.8,5.3,287.58,46.18,3.87,756.64,11.52,Low
2024-09-19 15:56:37,987.4,19.99,222.06,33.31,4.6,180.53,15.57,Low
2024-09-19 15:56:43,992.8,19.48,153.24,42.86,7.96,111.06,64.85,Low
2024-09-19 15:56:55,990.78,8.96,79.9,88.8,10.29,143.53,27.95,Low
2024-09-19 15:57:14,1033.78,-7.16,280.96,42.37,9.17,858.57,28.14,Moderate
2024-09-19 15:57:23,1027.56,-6.09,312.5,33.97,2.19,386.61,53.59,Low
2024-09-19 15:57:38,1004.69,46.54,30.26,86.61,12.57,470.59,57.58,Low
2024-09-19 15:58:11,1018.79,29.06,272.19,44.64,3.86,410.31,40.08,Low
2024-09-19 15:58:17,1003.63,24.24,305.38,86.87,5.5,386.83,57.22,Low
2024-09-19 15:58:21,1037.33,25.34,60.45,44.8,7.3,114.68,59.56,Low
2024-09-19 15:58:24,1038.79,8.69,61.47,57.12,0.6,384.64,68.52,Low
2024-09-19 15:58:33,1019.12,50.78,89.48,38.46,5.56,412.09,36.48,Low
2024-09-19 15:58:45,993.98,17.25,12.42,80.86,13.26,826.41,32.39,High
2024-09-19 15:58:48,1010.01,21.79,123.03,47.56,12.86,526.39,30.58,Moderate
2024-09-19 15:58:54,1029.75,56.94,62.85,30.6,9.18,465.74,33.86,Low
2024-09-19 15:59:07,1005.56,-4.84,208.93,32.88,4.89,660.36,57.64,Moderate
2024-09-19 15:59:10,1015.36,49.94,160.76,39.51,1.0,385.88,20.45,Low
2024-09-19 15:59:16,1001.34,7.52,155.99,39.4,14.56,589.49,54.32,Moderate
2024-09-19 15:59:24,1024.98,8.68,247.69,68.11,14.28,967.38,34.56,High
2024-09-19 15:59:30,986.28,15.33,47.68,81.75,13.43,846.51,24.13,Moderate
2024-09-19 15:59:36,988.82,47.38,115.99,50.32,19.27,655.22,57.27,Moderate
2024-09-19 15:59:40,1048.25,7.75,155.17,37.76,18.41,881.26,47.62,High
2024-09-19 15:59:49,1015.27,46.19,172.26,68.23,14.49,704.59,47.81,Moderate
2024-09-19 16:00:01,1008.19,-0.2,87.37,58.36,1.0,439.88,49.64,Low
2024-09-19 16:00:10,1021.23,14.7,66.92,52.72,10.91,929.95,42.54,High
2024-09-19 16:00:20,985.95,18.45,104.73,68.39,10.46,536.83,65.64,Moderate
2024-09-19 16:00:33,994.02,56.52,45.04,36.42,5.32,425.1,65.51,Low
2024-09-19 16:00:57,1042.72,14.15,135.98,57.14,18.15,455.73,55.81,Low
2024-09-19 16:01:07,1010.29,43.5,228.79,68.26,1.99,915.01,39.85,High
2024-09-19 16:01:19,1012.22,57.67,108.19,84.83,19.78,695.35,40.13,Moderate
2024-09-19 16:01:22,1036.18,37.15,207.58,47.51,19.63,758.86,67.39,High
2024-09-19 16:01:31,987.6,7.22,174.44,73.11,14.49,660.3,38.98,Moderate
2024-09-19 16:01:40,1009.51,13.95,106.62,34.75,6.0,574.56,65.33,Moderate
2024-09-19 16:01:43,1025.91,28.1,65.63,68.39,14.54,182.69,58.79,Low
2024-09-19 16:01:50,994.75,47.18,114.97,43.56,13.0,766.94,67.46,High
2024-09-19 16:01:53,1000.09,20.65,324.77,34.93,15.3,911.03,12.54,Low
2024-09-19 16:02:11,980.86,31.87,143.92,61.66,8.55,420.54,45.61,Low
2024-09-19 16:02:14,997.91,49.12,187.93,82.32,4.0,808.26,59.07,High
2024-09-19 16:02:18,991.2,10.84,166.6,42.61,5.43,606.35,40.38,Moderate
2024-09-19 16:02:28,1045.42,10.54,238.92,83.56,0.96,280.9,20.25,Low
2024-09-19 16:02:49,983.19,51.94,213.14,57.89,3.84,433.79,11.05,Low
